prompt_index,mode,max_new_tokens,returncode,elapsed_s,prompt_token_count,generated_token_ids,generated_text,first_token,tokens_achieved,stop_reason,total_gemv_calls,cpu_gemv_time_ms,cpu_non_gemv_time_ms,per_token_latency_ms,tokenizer_status,chat_template_applied,utf8_replacements
1,raw,16,0,1.286,6,339 3826 346 2316 2567 876 30 339 3543 719 3039 563 260 1391 284 339,I hope you're doing well. I've been thinking about the project and I,339,16,max_new_tokens,4426,1255.633,9.410,79.139,gguf gpt2-bpe tokens=49152 merges=48900 bos=1 eos=2 endoftext=0 im_start=1 im_end=2 chat_template=yes,false,0
1,raw,32,0,2.134,6,339 3826 346 2316 2567 876 30 339 3543 719 3039 563 260 1391 284 339 1510 339 3543 1135 634 1123 2894 30 339 3543 719 1891 335 260 940 2318,I hope you're doing well. I've been thinking about the project and I think I've made some good progress. I've been working on the data analysis,339,32,max_new_tokens,7802,2093.011,18.217,66.035,gguf gpt2-bpe tokens=49152 merges=48900 bos=1 eos=2 endoftext=0 im_start=1 im_end=2 chat_template=yes,false,0
1,chat,16,0,2.519,36,57 5248 2567 1109 17 1073 416 339 724 346 1834 47 2,I'm doing great! How can I help you today?,57,13,eos,10093,2475.048,27.560,192.633,gguf gpt2-bpe tokens=49152 merges=48900 bos=1 eos=2 endoftext=0 im_start=1 im_end=2 chat_template=yes,true,0
1,chat,32,0,2.452,36,57 5248 2567 1109 17 1073 416 339 724 346 1834 47 2,I'm doing great! How can I help you today?,57,13,eos,10093,2408.087,26.851,187.422,gguf gpt2-bpe tokens=49152 merges=48900 bos=1 eos=2 endoftext=0 im_start=1 im_end=2 chat_template=yes,true,0
2,raw,16,0,2.633,32,198 198 183 246 222 26638 242 18601 242 226 183 250 246 182 115 137,위의 예제를,198,16,max_new_tokens,9886,2587.160,28.022,163.561,gguf gpt2-bpe tokens=49152 merges=48900 bos=1 eos=2 endoftext=0 im_start=1 im_end=2 chat_template=yes,false,0
2,raw,32,0,3.578,32,198 198 183 246 222 26638 242 18601 242 226 183 250 246 182 115 137 18601 229 114 184 240 227 33085 242 182 250 114 182 119 129 28 18601,"위의 예제를 실행하려면, �",198,32,max_new_tokens,13262,3515.923,42.435,111.282,gguf gpt2-bpe tokens=49152 merges=48900 bos=1 eos=2 endoftext=0 im_start=1 im_end=2 chat_template=yes,false,1
2,chat,16,0,3.939,62,183 239 222 182 248 242 26638 242 25947 122 133 183 248 115 183 246,아래의 문장��,183,16,max_new_tokens,16186,3864.522,56.054,245.182,gguf gpt2-bpe tokens=49152 merges=48900 bos=1 eos=2 endoftext=0 im_start=1 im_end=2 chat_template=yes,true,2
2,chat,32,0,4.702,62,183 239 222 182 248 242 26638 242 25947 122 133 183 248 115 183 246 137 182 111 246 18601 248 234 181 133 125 183 224 230 181 125 246,아래의 문장으로 자기소개,183,32,max_new_tokens,19562,4611.063,71.223,146.413,gguf gpt2-bpe tokens=49152 merges=48900 bos=1 eos=2 endoftext=0 im_start=1 im_end=2 chat_template=yes,true,0
3,raw,16,0,2.765,40,25947 229 114 183 229 246 18601 247 129 182 115 137 18601 247 129 183,다시 이를 이�,25947,16,max_new_tokens,11566,2716.393,31.786,171.864,gguf gpt2-bpe tokens=49152 merges=48900 bos=1 eos=2 endoftext=0 im_start=1 im_end=2 chat_template=yes,false,1
3,raw,32,0,3.675,40,25947 229 114 183 229 246 18601 247 129 182 115 137 18601 247 129 183 244 119 33085 242 183 241 122 18601 239 226 182 220 242 183 242 114,다시 이를 이용하여 안나오,25947,32,max_new_tokens,14942,3609.425,46.686,114.333,gguf gpt2-bpe tokens=49152 merges=48900 bos=1 eos=2 endoftext=0 im_start=1 im_end=2 chat_template=yes,false,0
